"ID","Status","Project","Product","Short_Name","Description","Access","Documentation","Version","DOI","Variable","Start","End","Region","Polygon","Released","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6","EO_Missions"
1,"ONGOING","3D-Earth","Geothermal Heat Flow Database and Map_Greenland_GOCE_SWARM","geothermal-heat-flow-greenland-3d-earth","Greenland Geothermal Heat Flow Database and Map","https://dataverse01.geus.dk/dataset.xhtml?persistentId=doi:10.22008/FK2/F9P03L",,,"https://doi.org/10.22008/FK2/F9P03L","Geothermal energy",,,"Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2021.08.26","Solid Earth",,,,,,GOCE; SWARM
2,"ONGOING","3D-Earth","Global Model of Crust and Upper Mantle_WINTERC-G_GOCE","crust-and-upper-mantle-model-3d-earth","Global model of crust and upper mantle","https://drive.google.com/drive/folders/1bmwEpPm4Jj83legXuhmPB-EJ7oz5hKag?usp=sharing",,,,"Gravity field",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.03.10","Solid Earth",,,,,,"GOCE"
3,"COMPLETED","4D-ANTARCTICA","Subglacial Lake Drainage and Filling Antarctica Multimission","subglacial-lake-drainage-4dantarctica","Repeat Subglacial Lake Drainage and Filling Beneath Thwaites Glacier. Active subglacial lakes have been identified throughout Antarctica, offering a window into subglacial environments and their impact on ice sheet mass balance. Here we use high-resolution altimetry measurements from 2010 to 2019 to show that a lake system under the Thwaites Glacier undertook a large episode of activity in 2017, only four years after the system underwent a substantial drainage event. Our observations suggest significant modifications of the drainage system between the two events, with 2017 experiencing greater upstream discharge, faster lake-to-lake connectivity, and the transfer of water within a closed system. Measured rates of lake recharge during the inter-drainage period are 137% larger than modeled estimates, suggesting processes that drive subglacial meltwater production, such as geothermal heat flux or basal friction, are currently underestimated.","https://4d-antarctica.org/wp-content/uploads/2021/01/Malczyk_etal_2020_data_v2.tar","https://doi.org/10.1029/2020GL089658",,,Glacier cover,"2010.01.01","2019.12.31","Antarctica","-180,-80,180,-61","2020.09.01","Cryosphere",,,,,,"CryoSat-2; SMOS; Sentinel-1; Sentinel-2; ERS-1; ERS-2; ENVISAT; AMSR-E; TanDEM-X; Landsat-8"
7,"Planned","4DIONOSPHERE (SWARM VIP)","Semi-empiric model of ionosphere processes_SWARM","model-ionosphere-4dionosphere","Semi-empiric model and improvement of the forecasting capabilities for extreme space weather events. Swarm-VIP project performs extensive and complex statistical analysis on Swarm electron density, electric and magnetic field data focusing on: 1) the ionospheric climate/weather during quiet geomagnetic conditions; 2) the extreme events such as geomagnetic storms / superstorms and 3) the physics of ionospheric perturbations and small-scale variability. Currently the access to the results is restricted. If you would like to gain access, please contact Lasse Clausen (http://www.mn.uio.no/fysikk/english/people/aca/lbnc/) or Wojciech Miloch (http://www.mn.uio.no/fysikk/english/people/aca/wojciecm/index.html).",,,,,"Ionospheric plasma density",,,,,"Planned","Magnetosphere_Ionosphere",,,,,,"SWARM"
8,"Planned","AEOLUS+ INNOVATION - CDOM-PROXY RETRIEVAL FROM AEOLUS OBSERVATIONS (COLOR)","Diffuse attenuation: Kd_Global_AEOLUS","diffuse-attenuation-aeolus-innovation-color","in-water diffuse attenuation coefficient for downwelling irradiance [m-1]. COLOR Data Pool can be accessed via the following FTP link: ftp://aeolus@51.68.87.22. The access is password protected, please, contact Davide Dionisi (CNR-ISMAR, davide.dionisi@cnr.it) for access.","ftp://aeolus@51.68.87.22",,,,"Ocean Diffuse Attenuation Coefficient (DAC)",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","Planned","Oceans",,,,,,"AEOLUS"
9,"Planned","AEOLUS+ INNOVATION - CDOM-PROXY RETRIEVAL FROM AEOLUS OBSERVATIONS (COLOR)","Particulate backscatter: bbp_Global_AEOLUS","particulate-backscatter-aeolus-innovation-color","Sub-surface (in-water) hemispheric particulate backscatter coefficient [m-1]","ftp://aeolus@51.68.87.22",,,,"Ocean chlorophyll concentration",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","Planned","Oceans",,,,,,"AEOLUS"
10,"Planned","AEOLUS+ INNOVATION - CDOM-PROXY RETRIEVAL FROM AEOLUS OBSERVATIONS (COLOR)","Chromophoric Dissolved Organic Matter (CDOM) absorption_Global_AEOLUS","cdom-aeolus-innovation-color","Fraction of the Dissolved Organic Matter (DOM) that absorbs solar radiation [m-1]","ftp://aeolus@51.68.87.22",,,,"Colour Dissolved Organic Matter (CDOM)",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","Planned","Oceans",,,,,,"AEOLUS"
11,"Planned","AEOLUS+ INNOVATION - STUDIES ON WIND AND AEROSOL INFORMATION FROM LIDAR SURFACE RETURNS (SWAILS+)","Lidar Aerosol Retrieval based on Information from Surface Signal of Aeolus_Global Oceans_AEOLUS","lidar-aerosol-aeolus-swails","LARISSA will provide independent AOD estimates (from the standard L2 Aeolus product) over oceans. The resulting aerosol product from LARISSA will be beneficial for various scientific applications including: a better understanding of the wind speed dependence in off-nadir ocean surface scattering in the ultraviolet; evaluation of aerosol models, where the LARISSA-based (integrated) aerosol optical depth can be used as input for data assimilation; studies of global aerosol optical properties as LARISSA will retrieve the average column lidar ratios; support of future lidar missions with nadir and non-nadir viewing angles in the UV, i.e., the EarthCARE mission lidar ATLID.",,,,,"Aerosol Optical Depth","2018.01.01","2021.12.31","Global Oceans","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","Planned","Atmosphere","Oceans",,,,,"AEOLUS"
12,"ONGOING","ALBIOM (ALtimetry for BIOMass)","Prototype biomass product using Sentinel-3 altimetry_Africa_S3","biomass-s3-africa-albiom","Prototype biomass estimation over specific areas, especially over tropical forests and boreal forests. Product details are provided in: Davide Comite, Nazzareno Pierdicca, Maria-Paola Clarizia, Giuseppina De Felice-Proia, Leila Guerriero, Marco Restano, and Jerome Benveniste ""Biomass Estimation by Means of Sentinel-3 Data: A Sensitivity Analysis"", Proc. SPIE 11861, Microwave Remote Sensing: Data Processing and Applications, 1186104 (12 September 2021); https://doi.org/10.1117/12.2600230 https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11861/2600230/Biomass-Estimation-by-Means-of-Sentinel-3-Data--A/10.1117/12.2600230.full",,"https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11861/2600230/Biomass-Estimation-by-Means-of-Sentinel-3-Data--A/10.1117/12.2600230.full",,,"Biomass","2017.01.01","2017.12.31","Africa","[[[-17.8563289572,-34.4708447326],[52.1929288951,-34.4708447326],[52.1929288951,36.9355756202],[-17.8563289572,36.9355756202],[-17.8563289572,-34.4708447326]]]","2021.12.31","Land",,,,,,"Sentinel-3"
13,"Planned","AlpGlacier","Snow cover on glaciers_SwissAlps_S1/2","snow-cover-alpglacier","Snow cover on glaciers. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",,"https://onlinelibrary.wiley.com/doi/10.1002/esp.5193",,,"Snow cover","2016.01.01","2016.12.31","Switzerland","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"Sentinel-1; Sentinel-2"
