"Project_ID","Status","Project_Name","Short_Name","Short_Description","Website","Eo4Society_link","Consortium","Start_Date_Project","End_Date_Project","TO","TO_E-mail","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6"
1,"COMPLETED","3D-Earth","3D-EARTH","Establish a global 3D reference model model of the crust and upper mantle based on the analysis of satellite gravity and (electro-)magnetic missions in combination with seismological models and analyse the feedback between processes in Earthâ€š deep mantle and the lithosphere","http://www.3dearth.uni-kiel.de/en","https://eo4society.esa.int/projects/stse-3d-earth/","UNIVERSITY OF KIEL (DE), BRITISH ANTARCTIC SURVEY (GB), DUBLIN INSTITUTE FOR ADVANCED STUDIES (DIAS) (IE), GEOLOGICAL SURVEY OF DENMARK AND GREENLAND (DK), TU DELFT (NL), Technical University of Denmark (DK), UNIVERSITY OF OSLO (NO)",22.10.2019,12.11.2020,"Roger Haagmans","roger.haagmans@esa.int","Solid Earth",,,,,
2,"ONGOING","4D-ANTARCTICA","4D-ANTARCTICA","Despite the key role that hydrology plays on the ice sheet environment, there is still no global hydrological budget for Antarctica. There is currently a lack of global data on supra- and sub-glacial hydrology, and no systems are in place for continuous monitoring of it or its impact on ice dynamics. The overall aim of 4DAntarctica is to advance our understanding of the Antarctic Ice Sheet’s supra and sub-glacial hydrology, its evolution, and its role within the broader ice sheet and ocean systems. We designed our programme of work to address the following specific objectives: Creating and consolidating an unprecedented dataset composed of ice-sheet wide hydrology and lithospheric products, Earth Observation datasets, and state of the art ice-sheet and hydrology models. Improving our understanding of the physical interaction between electromagnetic radiation, the ice sheet, and liquid water. Developing techniques and algorithms to detect surface and basal melting from satellite observations in conjunction with numerical modelling. Applying these new techniques at local sites and across the continental ice sheet to monitor water dynamics and derive new hydrology datasets. Performing a scientific assessment of Antarctic Ice Sheet hydrology and of its role in the current changes the continent is experiencing. Proposing a future roadmap for enhanced observation of Antarctica’s hydrological cycle. To do so, the project will use a large range of Earth Observation missions (e.g. Sentinel-1, Sentinel-2, SMOS, CryoSat-2, GOCE, TanDEM-X, AMSR2, Landsat, Icesat-2) coupled with ice-sheet and hydrological models. By the end of this project, the programme of work presented here will lead to a dramatically improved quantification of meltwater in Antarctica, an improved understanding of fluxes across the continent and to the ocean, and an improved understanding of the impact of the hydrological cycle on ice sheet’s mass balance, its basal environment, and its vulnerability to climate change.","http://www.4d-antarctica.org/","https://eo4society.esa.int/projects/4dantarctica/","UNIVERSITY OF EDINBURGH (GB), CNR-RESEARCH INSTITUTE FOR GEO-HYDROLOGICAL PROTECTION â€“ IRPI (IT), DLR â€“ GERMAN AEROSPACE CENTER (DE), EARTHWAVE Ltd (GB), EIDGENÃ–SSISCHE TECHNISCHE HOCHSCHULE ZURICH (ETH ZURICH) (CH), ENVEO â€“ ENVIRONMENTAL EARTH OBSERVATION GMBH (AT), SHEPHERD SPACE LTD. (GB), Technical University of Denmark (DK), UKRI Rutherford Appleton Laboratory (GB), UNIVERSITY OF LANCASTER ENVIROMENT CENTRE (GB), UNIVERSITY OF LEEDS, SCHOOL OF EARTH AND ENVIRONMENT (GB), UNIVERSITÃ‰ GRENOBLE ALPES (FR)",24.09.2019,15.10.2022,"Diego Fernandez","diego.fernandez@esa.int","Cryosphere",,,,,
3,"ONGOING","4D-Greenland","4D-Greenland","In 4DGreenland the overall aim is to advance the current state of knowledge on the hydrology of the Greenland Ice Sheet, by capitalising on the latest advances in Earth Observation data. The high latitudes of the Northern Hemisphere have experienced the largest warming over the last decades. The Greenland ice sheet is currently undergoing rapid changes in response to the increased temperatures. Understanding the Greenland ice sheet hydrologyis essential to understand these changes – and how the Greenland ice sheet will contribute to global sea level rise in a future warming climate. In 4DGreenland we will map and quantify both meltwater- , subglacial- and supra-glacial processes, as well as performing an integrated assessment of Greenland’s hydrology based on the results. We will focus our integrated assessment analysis on the time span 2010-present, and generate a Product Portfolio of novel datasets over the whole Greenland ice sheet to characterise the different components of the hydrological system. Thorough validation ofall derived products and scientific results will be carried out. Another outcome of the project will be a scientific roadmap providing recommendations to ESA to further advance the use of EO technology to address the main knowledge gaps and scientific challenges associated with the Greenland hydrology.","https://4dgreenland.eo4cryo.dk/","https://eo4society.esa.int/projects/4dgreenland/","Technical University of Denmark (DTU), GEUS, Lancaster University (LU), Environmental Earth Observation IT GmbH (ENVEO), Finish Meterological Institute (FMI), German Aerospace Center (DLR), Earthwave, Sciences [&] Technology Corporation (S&T), Shepherd SPACE lth",26.08.2020,01.09.2022,"Diego Fernandez","diego.fernandez@esa.int","Cryosphere",,,,,
4,"COMPLETED","4DIONOSPHERE (SWARM VIP)","SWARM VIP","In the project Swarm satellite data and other datasets are used to determine determine the dominant scales in the ionosphere at different geomagnetic conditions and create a semi-empiric dynamic model of the ionosphere.","https://www.mn.uio.no/fysikk/english/research/projects/swarm-vip/","https://eo4society.esa.int/projects/4dionosphere/","UNIVERSITY OF OSLO (NO), GMV INNOVATING SOLUTIONS SP. Z O.O. (PL), ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA (IT), NOTTINGHAM TRENT UNIVERSITY (GB)",07.04.2020,16.04.2022,"Jerome Bouffard","jerome.bouffard@esa.int","Magnetosphere_Ionosphere",,,,,
5,"COMPLETED","AEOLUS+ INNOVATION - EXPRO+ IMPROVING DUST MONITORING AND FORECASTING THROUGH AEOLUS WIND DATA ASSIMILATION (NEWTON)","AEOLUS+inno - NEWTON","Demonstrate the potential improvement of short-term dust forecasts when the numerical simulations are initialized from meteorological fields in which Aeolus observations have been assimilated.","http://newton.space.noa.gr/index.html","https://eo4society.esa.int/projects/aeolus-innovation-expro-newton/","NATIONAL OBSERVATORY OF ATHENS (GR),The Cyprus Institute (CY)",12.10.2020,31.05.2022,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
6,"ONGOING","AEOLUS+ INNOVATION - EXPRO+ OCEAN SUB-SURFACE PRODUCTS AND APPLICATIONS","AEOLUS+inno - AOC","Assessing the potential of the Aeolus mission to monitor ocean sub-surface optical and biogeochemical properties based on the measurements from the wind lidar ALADIN (Atmospheric Laser Doppler Instrument) at 355 nm.","https://eo4society.esa.int/projects/aeolus-innovation-ocean-sub-surface-products-and-applications/","https://eo4society.esa.int/projects/aeolus-innovation-ocean-sub-surface-products-and-applications/","NOVELTIS SAS (FR),UNIVERSITE DU LITTORAL COTE D'OPALE (FR)",09.12.2020,27.06.2021,"Marie-Helene Rio","marie-helene.rio@esa.int","Atmosphere","Oceans",,,,
7,"COMPLETED","AEOLUS+ INNOVATION - STUDIES ON WIND AND AEROSOL INFORMATION FROM LIDAR SURFACE RETURNS (SWAILS+)","AEOLUS+inno - SWAILS+","Aeolus lidar surface returns are used in combination with collocated wind speed observations to retrieve the aerosol optical depth. The retrieval algorithm under development, LARISSA (Lidar Aerosol Retrieval based on Information from Surface Signal of Aeolus), will complement the standard Aeolus (L2) aerosol profile products.","https://www.knmiprojects.nl/projects/swails","https://eo4society.esa.int/projects/aeolus-innovation-studies-on-wind-and-aerosol-information-from-lidar-surface-returns-swails/","KNMI (NL)",10.11.2020,21.06.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere","Oceans",,,,
8,"ONGOING","AEOLUS+ INNOVATION - CDOM-PROXY RETRIEVAL FROM AEOLUS OBSERVATIONS (COLOR)","AEOLUS+inno - COLOR","Assessing the feasibility of deriving an in-water AEOLUS product from the analysis of the ocean sub-surface backscattered component of the 355 nm signal acquired by the ALADIN (Atmospheric LAser Doppler INstrument).","https://eo4society.esa.int/projects/aeolus-innovation-expro-cdom-proxy-retrieval-from-aeolus-observations-color/","https://eo4society.esa.int/projects/aeolus-innovation-expro-cdom-proxy-retrieval-from-aeolus-observations-color/","CNR-RESEARCH INSTITUTE FOR GEO-HYDROLOGICAL PROTECTION â€š IRPI (IT),Aequora (PT),SERCO ITALIA SPA (IT),UNIV BASILICATA (IT)",01.02.2021,15.08.2022,"Marie-Helene Rio","marie-helene.rio@esa.int","Atmosphere","Oceans",,,,
9,"COMPLETED","AEOLUS+ INNOVATION â€š EXPRO+ LIDAR MEASUREMENTS TO IDENTIFY STREAMERS AND ANALYZE ATMOSPHERIC WAVES (LISA)","AEOLUS+inno - LISA","Aeolus wind measurements enable for the first time the derivation of atmospheric wave structures on different temporal and spatial scales and wind gradients in particular above the oceans, where wind measurements from ground-based instruments are sparse. These measurements will help us to better understand the atmospheric dynamics.","https://www.wdc.dlr.de/lisa/","https://eo4society.esa.int/projects/lidar-measurements-to-identify-streamers-and-analyze-atmospheric-waves-lisa/","DLR - GERMAN AEROSPACE CENTER (DE), INSTITUTE OF ATMOSPHERIC PHYSICS (CZ)",30.11.2020,02.07.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
10,"COMPLETED","AEOLUS+ INNOVATION â€š EXPRO+ OCEAN SURFACE WIND FROM AEOLUS SEA SURFACE RETURNS (SEA-FLECT)","AEOLUS+inno - SEA-FLECT","The Sea-Flect study objective is to define, calibrate and validate an ocean surface wind speed retrieval method and retrieval method conditions using Aeolus measurements. These retrievals are used to develop a demonstrational Aeolus surface wind product. In this study, strong emphasis is put on the retrieval method and conditions as it is expected that under specific conditions a good wind speed retrieval may be hampered or may be even impossible. Characterization of these conditions is a main outcome of the project.","https://aeolus-surface-wind.aer.com/index.html","https://eo4society.esa.int/projects/aeolus-innovation-expro-ocean-surface-wind-from-aeolus-sea-surface-returns-sea-flect/","Verisk Analytics GmbH (DE), INFORMUS GMBH (DE)",11.11.2020,22.06.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere","Oceans",,,,
